"cartodb_id","the_geom","the_geom_webmercator","uid","pubdate","volcano_name","country_name","description","sources"
22,"0101000020E610000021B0726891F56340E17A14AE47114B40","0101000020110F00006180F7C58EF370412B85F64F1D735B41","54.135_159.674_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Maly Semyachik","Russia","\nKVERT reported that activity at Maly Semyachik increased during the second half of March; the ice covering the crater lake melted within a 5-6-day period, and a weak thermal anomaly was visible in satellite images. The Aviation Color Code was raised to Yellow (the second lowest level on a four-color scale) on 22 March. A weak thermal anomaly continued to be detected through 20 April, though no further activity prompted KVERT to lower the Aviation Color Code to Green.\n"," Kamchatkan Volcanic Eruption Response Team (KVERT)\n"
45,"0101000020E61000005EBA490C023B5C409EEFA7C64B3720C0","0101000020110F0000C86B4271E6F96741021C1B0C0CA32BC1","-8.108_112.922_2018-05-02T03:07:47Z","2018-05-02T03:07:47Z","Semeru","Indonesia","\nBased on analysis of satellite images, the Darwin VAAC reported that on April a short-lived, discreet eruption at Semeru generated an ash plume that rose to an altitude of 3.4 km (11,000 ft) a.s.l. and drifted NW. \n"," Darwin Volcanic Ash Advisory Centre (VAAC)\n"
23,"0101000020E6100000D578E92631D851C0C976BE9F1A6F42C0","0101000020110F0000233149A7884F5EC1C7D00DE81CDD50C1","-36.868_-71.378_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Nevados de Chillan","Chile","\nServicio Nacional de Geología and Minería (SERNAGEOMIN) Observatorio Volcanológico de Los Andes del Sur (OVDAS) reported continuing activity during 17-18 April associated with growth of the Gil-Cruz lava dome in Nevados de Chillán?s Nicanor Crater. Seismicity consisted of long-period events and tremor associated with explosions. The webcam recorded pulsating white gas emissions with possible ash, nighttime incandescence, and an intermittent ejection of ballistics from explosions. The Alert Level remained at Orange, the second highest level on a four-color scale. ONEMI maintained an Alert Level Yellow (the middle level on a three-color scale) for the communities of Pinto, Coihueco, and San Fabián.\n"," Buenos Aires Volcanic Ash Advisory Center (VAAC) ,Oficina Nacional de Emergencia-Ministerio del Interior (ONEMI) ,Servicio Nacional de Geología y Minería (SERNAGEOMIN)\n"
24,"0101000020E61000000C022B87169958405C8FC2F5285C0940","0101000020110F0000BAF9D16A1EE464417E90D3D39B8C1541","3.170_98.392_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Sinabung","Indonesia","\nPVMBG reported that during 18-22 April gray-to-white plumes from Sinabung rose as high as 500 m above the crater rim and drifted in multiple directions. At 1604 on 20 April an event produced an ash plume that rose 3 km and pyroclastic flows that traveled 1 km down the E, SE, W, and NW flanks. The Alert Level remained at 4 (on a scale of 1-4), with a general exclusion zone of 3 km and extensions of 7 km on the SSE sector, 6 km in the ESE sector, and 4 km in the NNE sector.\n"," Pusat Vulkanologi dan Mitigasi Bencana Geologi (PVMBG, also known as CVGHM)\n"
25,"0101000020E61000008D976E1283E05C40560E2DB29DAF20C0","0101000020110F00000EF7C27776866841846DA2138C712CC1","-8.343_115.508_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Agung","Indonesia","\nPVMBG reported that although there were often foggy conditions during 18-24 April, white plumes were observed rising as high as 300 m above Agung?s crater rim and drifting E. The Alert Level remained at 3 (on a scale of 1-4) and the exclusion zone continued at a 4-km radius.\n"," Pusat Vulkanologi dan Mitigasi Bencana Geologi (PVMBG, also known as CVGHM)\n"
26,"0101000020E61000001B2FDD24065560402B8716D9CE973F40","0101000020110F000024A9ACD6E3BD6B41807FC8A9194E4C41","31.593_130.657_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Aira","Japan","\nJMA reported that there were eight events and 13 explosions at Minamidake crater (at Aira Caldera?s Sakurajima volcano) during 16-23 April. Tephra was ejected as far as 1.1 km from the crater, and plumes rose as high as 2.5 km above the crater rim. At 0038 on 22 April an explosion produced an ash plume that rose 3.3 km and ejected tephra as far as 1.3 km. Crater incandescence was visible on most nights. The Alert Level remained at 3 (on a 5-level scale).\n"," Japan Meteorological Agency (JMA) \n"
27,"0101000020E61000001F85EB51B8FA6440BA490C022BC72EC0","0101000020110F0000A0EFCBAB5AD1714118182F2BB8753AC1","-15.389_167.835_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Ambae","Vanuatu","\nVanuatu Geohazards Observatory (VGO) reported that during April the eruption from a cone in Ambae?s Lake Voui continued through 23 April, with ash emissions and some lava fountaining. Ash, scoria, and acid rain fell on the island. Observations on 21 April confirmed that the cone had grown, and that the crater in the center of the cone was larger; a small lake was present in the crater. The Alert Level remained at 3 (on a scale of 0-5), and the report reminded residents to stay at least 3 km away from the active crater.\n"," Vanuatu Geohazards Observatory \n"
28,"0101000020E6100000A4703D0AD703654000000000004030C0","0101000020110F00005FB5AC8C19D971418E27BE62DCFA3BC1","-16.250_168.120_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Ambrym","Vanuatu","\nOn 25 April the Vanuatu Geohazards Observatory (VGO) reported that the lava lakes in Ambrym?s Benbow and Marum craters continued to be active, and produced gas-and-steam emissions. The Alert Level remained at 2 (on a scale of 0-5); the report reminded the public to stay outside of the Permanent Danger Zone defined as a 1-km radius from Benbow Crater and a 2.7-km radius from Marum Crater.\n"," Vanuatu Geohazards Observatory \n"
29,"0101000020E6100000F0A7C64B37F95F404A0C022B8716FB3F","0101000020110F00000A9493DEB4276B41106F73A15A020741","1.693_127.894_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Dukono","Indonesia","\nBased on analyses of satellite imagery, wind model data, and notices from PVMBG, the Darwin VAAC reported that during 19-24 April ash plumes from Dukono rose to an altitude of 2.1 km (7,000 ft) a.s.l. and drifted in multiple directions. \n"," Darwin Volcanic Ash Advisory Centre (VAAC),Pusat Vulkanologi dan Mitigasi Bencana Geologi (PVMBG, also known as CVGHM)\n"
30,"0101000020E61000009CC420B0728063402B8716D9CE574940","0101000020110F0000B90096701690704104B889650C0C5941","50.686_156.014_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Ebeko","Russia","\nVolcanologists in Severo-Kurilsk (Paramushir Island), about 7 km E of Ebeko, observed explosions during 15 and 17-19 April that sent ash plumes as high as 2.6 km (8,500 ft) a.s.l.  The Aviation Color Code remained at Orange (the second highest level on a four-color scale).\n"," Kamchatkan Volcanic Eruption Response Team (KVERT)\n"
31,"0101000020E61000001904560E2DEE634083C0CAA145064B40","0101000020110F00000DFB209947ED7041FB4D93712C635B41","54.049_159.443_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Karymsky","Russia","\nKVERT reported that the last explosive event at Karymsky occurred on 27 January, and the last thermal anomaly was detected on 26 March. The Aviation Color Code was lowered to Yellow (the second lowest level on a four-color scale).\n"," Kamchatkan Volcanic Eruption Response Team (KVERT)\n"
32,"0101000020E61000006DE7FBA9F1466040C520B07268713E40","0101000020110F0000747C3E44F9A56B41EF0076B4562A4B41","30.443_130.217_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Kuchinoerabujima","Japan","\nJMA reported that a low-temperature thermal anomaly persisted near the W fracture in Kuchinoerabujima Shindake crater. In addition, both the number of volcanic earthquakes (generally occurring in a large quantity) and sulfur dioxide flux remained above baselines levels in August 2014. No eruptions have occurred since 19 June 2015, and deflation had been recorded since January 2016; the Alert Level was lowered to 3 (on a scale of 1-5).\n"," Japan Meteorological Agency (JMA) \n"
33,"0101000020E6100000A4703D0AD7EB5E40DD24068195832A40","0101000020110F0000A52100E7EC426A41A52BE43AD5B83641","13.257_123.685_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Mayon","Philippines","\nPHIVOLCS reported that during 18-24 April white steam plumes from Mayon drifted NW, W, SW, and NE. Crater incandescence was visible at night. The sulfur dioxide flux was 796 tonnes/day on 17 April. The Alert Level remained at 2 (on a 0-5 scale) and PHIVOLCS reminded residents to stay away from the 6-km-radius Permanent Danger Zone and the 7-km Extended Danger Zone on the SSW and ENE flanks.\n"," Philippine Institute of Volcanology and Seismology (PHIVOLCS) \n"
34,"0101000020E61000005839B4C876A656C0DD24068195C32C40","0101000020110F0000FC7AEE25A33C63C1D15B6B339FB03841","14.382_-90.601_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Pacaya","Guatemala","\nINSIVUMEH reported increased activity at Pacaya?s Mackenney Crater during 18-19 April. Strombolian explosions ejected material as high as 50 m above the crater rim, and four lava flows traveled 200-500 m down the SW, W, and NW flanks. Strombolian explosions continued to be detected during 21-23 April. \n"," Instituto Nacional de Sismologia, Vulcanologia, Meteorologia, e Hidrologia (INSIVUMEH)\n"
46,"0101000020E61000008D976E1283E05C40560E2DB29DAF20C0","0101000020110F00000EF7C27776866841846DA2138C712CC1","-8.343_115.508_2018-05-02T03:07:47Z","2018-05-02T03:07:47Z","Agung","Indonesia","\nPVMBG reported that at 2245 on 30 April an event at Agung generated an ash plume that rose 1.5 km above the crater rim and drifted SW. Seismicity was dominated by low-frequency earthquakes related to gas-and-steam emissions. The Alert Level remained at 3 (on a scale of 1-4) and the exclusion zone continued at a 4-km radius.\n"," Pusat Vulkanologi dan Mitigasi Bencana Geologi (PVMBG, also known as CVGHM)\n"
35,"0101000020E6100000022B8716D9F651C06DE7FBA9F1922FC0","0101000020110F0000797D98299B835EC15A63FA4065293BC1","-15.787_-71.857_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Sabancaya","Peru","\nObservatorio Vulcanológico del Sur del IGP (OVS-IGP) and Observatorio Vulcanológico del INGEMMET (OVI) reported that explosive activity at Sabancaya increased compared to the previous week; explosions averaged 19 per day during 16-22 April. Seismicity was dominated by long-period events, with a rise in signals indicating emissions. Gas-and-ash plumes rose as high as 2.2 km above the crater rim and drifted 40 km NW, W, and SW. The MIROVA system detected five thermal anomalies, and on 17 April the sulfur dioxide gas flux was high at 3,421 tons/day. The report noted that the public should not approach the crater within a 12-km radius.\n"," Instituto Geofísico del Perú (IGP),Instituto Geológico Minero y Metalúrgico (INGEMMET)\n"
36,"0101000020E6100000EC51B81E852B6440DD24068195534C40","0101000020110F0000C5E98C10612171412AF92EC84C555D41","56.653_161.360_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Sheveluch","Russia","\nKVERT reported that a weak thermal anomaly over Sheveluch was identified in satellite images during 14-18 April. The Aviation Color Code remained at Orange.\n"," Kamchatkan Volcanic Eruption Response Team (KVERT)\n"
37,"0101000020E6100000B81E85EB51E85F40022B8716D9CEF73F","0101000020110F000070AC84535B196B41E8F26F34F0380441","1.488_127.630_2018-05-02T03:07:47Z","2018-05-02T03:07:47Z","Ibu","Indonesia","\nPVMBG reported that at 1822 on 30 April an eruption at Ibu generated a dark gray ash plume that rose at least 500 m above the crater rim and drifted E. The Alert Level remained at 2 (on a scale of 1-4), and the public was warned to stay at least 2 km away from the active crater, and 3.5 km away on the N side.\n"," Pusat Vulkanologi dan Mitigasi Bencana Geologi (PVMBG, also known as CVGHM)\n"
38,"0101000020E61000001904560E2DEE634083C0CAA145064B40","0101000020110F00000DFB209947ED7041FB4D93712C635B41","54.049_159.443_2018-05-02T03:07:47Z","2018-05-02T03:07:47Z","Karymsky","Russia","\nOn 26 April KVERT reported that the last explosive event at Karymsky occurred on 27 January, and the last thermal anomaly was detected on 26 March; activity remained at a low level. The Aviation Color Code was lowered to Green (the lowest level on a four-color scale). Explosive activity was identified in satellite images beginning at 1825 on 28 April, prompting KVERT to raise the Alert Level to Orange. Ash plumes rose as high as 5.5 km (18,000 ft) a.s.l. and drifted 150 km NE. \n"," Kamchatkan Volcanic Eruption Response Team (KVERT)\n"
